,breadcrumb,id,itemType,ldap,menuGroupId,menuId,menuItemId
2014-10-30 14:49:33,BPC - The Owl > Deal Insights > Metrics By Deal Approver  >  TAT Summary  ,2231165,abi_report,psawyer,1557,32,7108
2014-10-30 14:54:53,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography Summary,2231212,abi_report,psawyer,1557,32,7110
2014-10-30 14:56:26,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography Summary,2231233,abi_report,psawyer,1557,32,7110
2014-10-30 14:57:41,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2231239,abi_report,psawyer,1557,32,7111
2014-10-30 15:01:20,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Accountability Summary,2231273,abi_report,psawyer,1557,32,7112
2014-10-30 15:02:37,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [Beta] Distribution ,2231281,abi_report,psawyer,1557,32,7113
2014-10-30 15:03:42,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [Beta] Descriptive Statistics,2231293,abi_report,psawyer,1557,32,7115
2014-10-30 15:04:34,BPC - The Owl > Deal Insights > Metrics for Sales  > Detail Data,2231306,abi_report,psawyer,1557,32,7117
2014-10-30 15:05:03,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2231313,abi_report,jvarciag,1557,32,7102
2014-10-30 15:06:18,BPC - The Owl > Deal Insights > Legal Deals and Misc > Detail Data,2231320,abi_report,psawyer,1557,32,7119
2014-10-30 15:07:28,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [New] Deal Review Reporting,2231338,duplos,mikemmurphy,1557,32,7675
2014-10-30 15:08:11,BPC - The Owl > RMC Internal Insights > Users & Training > BPC Quiz Coverage,2231344,abi_report,psawyer,1558,32,7121
2014-10-30 15:09:16,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Accountability Summary,2231355,abi_report,jvarciag,1557,32,7103
2014-10-30 15:09:35,BPC - The Owl > RMC Internal Insights > Users & Training > BPC Quiz Coverage,2231358,abi_report,psawyer,1558,32,7121
2014-10-30 15:11:53,BPC - The Owl > RMC Internal Insights > AAS Coverage > AAS Answers/Usage,2231402,abi_report,jfrancisco,1558,32,7134
2014-10-30 15:12:44,BPC - The Owl > Deal Insights > Metrics By Deal Activity > [Beta] Distribution ,2231423,abi_report,jvarciag,1557,32,7104
2014-10-30 15:13:07,BPC - The Owl > RMC Internal Insights > Users & Training > Quizzes,2231431,abi_report,psawyer,1558,32,7122
2014-10-30 15:13:20,BPC - The Owl > Documentation > Deal Data Convergence BRD,2231436,dasnav_report,jfrancisco,809,32,3510
2014-10-30 15:15:06,BPC - The Owl > Deal Insights > Metrics By Deal Activity > [Beta] Moving Average,2231457,abi_report,jvarciag,1557,32,7105
